"SN","TN","ti","Hand","Block","CN"
2,24,105,19.13037225,"NoFB",1
2,25,285,17.51973431,"NoFB",2
2,26,225,-7.190100508,"NoFB",2
2,27,105,15.50708617,"NoFB",2
2,28,135,14.62087399,"NoFB",2
2,29,30,-1.747163748,"NoFB",2
2,30,120,22.19623543,"NoFB",2
2,31,60,-16.92749589,"NoFB",2
2,32,180,-8.330536547,"NoFB",2
2,33,255,-7.668863607,"NoFB",2
2,34,315,4.996760665,"NoFB",2
2,35,330,3.612885454,"NoFB",2
2,36,300,5.753887254,"NoFB",2
2,37,240,-5.4919144,"NoFB",2
2,38,0,-0.209873712,"NoFB",2
2,39,150,14.02127322,"NoFB",2
2,40,75,-5.032914489,"NoFB",2
2,41,210,7.303948278,"NoFB",2
2,42,45,-12.56534838,"NoFB",2
2,43,90,7.714227394,"NoFB",2
2,44,345,-8.006231305,"NoFB",2
2,45,195,5.155217087,"NoFB",2
2,46,165,11.0468205,"NoFB",2
2,47,270,4.5209579,"NoFB",2
2,48,15,-7.811462857,"NoFB",2
2,49,45,-4.398705355,"NoFB",3
2,50,270,0.704420811,"NoFB",3
2,51,105,14.11389602,"NoFB",3
2,52,60,-12.12323493,"NoFB",3
2,53,240,-6.173629046,"NoFB",3
2,54,150,8.947254787,"NoFB",3
2,55,180,1.301952673,"NoFB",3
2,56,210,5.643292012,"NoFB",3
2,57,255,1.9037178,"NoFB",3
2,58,0,0.240737153,"NoFB",3
2,59,120,17.97600049,"NoFB",3
2,60,330,-11.25383795,"NoFB",3
2,61,30,-9.705035647,"NoFB",3
2,62,90,9.759381268,"NoFB",3
2,63,315,10.41475876,"NoFB",3
2,64,285,4.536654938,"NoFB",3
2,65,135,12.86710414,"NoFB",3
2,66,345,-2.161918803,"NoFB",3
2,67,300,0.360665338,"NoFB",3
2,68,75,0.699722551,"NoFB",3
2,69,165,7.373953083,"NoFB",3
2,70,225,0.15360762,"NoFB",3
2,71,15,-1.196428469,"NoFB",3
2,72,195,1.087006536,"NoFB",3
2,73,105,15.18185275,"NoFB",4
2,74,60,-9.975924741,"NoFB",4
2,75,90,7.311213677,"NoFB",4
2,76,270,7.650650955,"NoFB",4
2,77,345,-12.21086997,"NoFB",4
2,78,195,-2.471192291,"NoFB",4
2,79,225,-5.300926517,"NoFB",4
2,80,135,9.93409747,"NoFB",4
2,81,150,5.344101256,"NoFB",4
2,82,315,4.497151615,"NoFB",4
2,83,300,5.922946199,"NoFB",4
2,84,120,13.35559674,"NoFB",4
2,85,285,8.490507198,"NoFB",4
2,86,30,1.686367688,"NoFB",4
2,87,0,-2.129853202,"NoFB",4
2,88,165,6.209456817,"NoFB",4
2,89,210,7.671479962,"NoFB",4
2,90,15,-1.181403271,"NoFB",4
2,91,75,-11.3050116,"NoFB",4
2,92,180,12.23611151,"NoFB",4
2,93,255,-3.838433558,"NoFB",4
2,94,240,-9.424149759,"NoFB",4
2,95,330,-1.547989643,"NoFB",4
2,96,45,-14.32893967,"NoFB",4
2,97,225,-3.028698578,"FB",5
2,98,195,5.143654696,"FB",5
2,99,210,-1.778454939,"FB",5
2,100,15,2.440595882,"FB",5
2,101,180,4.381037832,"FB",5
2,102,0,1.630756075,"FB",5
2,103,270,1.380354073,"FB",5
2,104,240,-5.188743132,"FB",5
2,105,255,0.442426247,"FB",5
2,106,60,-6.504702864,"FB",5
2,107,150,12.8061567,"FB",5
2,108,120,4.540090907,"FB",5
2,109,90,2.80245152,"FB",5
2,110,300,9.093858886,"FB",5
2,111,75,-9.525969868,"FB",5
2,112,45,-5.269653083,"FB",5
2,113,105,15.27097555,"FB",5
2,114,135,2.337305859,"FB",5
2,115,285,3.107547932,"FB",5
2,116,315,2.74e-14,"FB",5
2,117,330,-8.123169263,"FB",5
2,118,30,-2.832763104,"FB",5
